14.173048	0
3.401090	4
2.461479	2
4.388331	4
7.555829	4
8.602159	4
1.876006	0
14.356257	0
13.626632	2
14.535971	4
9.953248	4
0.034161	5
0.459506	3
1.829121	2
6.770259	0
2.308310	0
7.938910	3
13.481671	0
1.916468	2
12.319791	4
2.078613	3
2.011591	0
11.649096	5
1.422777	1
7.131253	5
2.113826	0
4.092927	5
4.279821	2
16.581875	3
0.823978	4
2.648261	1
10.726340	2
6.932530	1
9.166123	5
4.763114	2
12.631144	2
0.422881	4
16.630851	4
0.855379	1
7.925695	4
1.650317	2
4.319095	1
1.362024	2
10.032863	0
7.113436	5
8.097573	4
1.373682	3
0.081920	5
1.447915	0
5.194405	0
2.887040	3
0.266400	5
3.133784	4
0.439072	4
3.573193	1
1.080978	5
3.370964	5
0.258515	4
7.791310	3
5.403346	0
4.181650	5
0.186549	0
3.436695	2
2.691740	3
0.367014	5
2.644260	0
1.960423	4
1.833458	3
12.976007	2
4.921351	1
2.426562	1
1.279121	3
1.041538	0
1.753666	2
0.540732	2
4.131586	2
1.625939	5
10.594217	5
6.070300	5
7.729540	4
4.380877	4
0.269170	0
3.161956	4
0.459819	3
5.617067	0
2.698657	0
3.025882	4
4.440339	3
3.214154	2
3.476137	1
1.744898	3
11.545858	4
2.937498	5
1.627625	3
13.537785	3
1.703456	0
6.798063	1
12.946095	3
3.323264	5
0.404733	5
